iter	MultiClass
0	1.923207916
1	1.830431493
2	1.766618954
3	1.716954063
4	1.677326129
5	1.643699344
6	1.615909216
7	1.590590797
8	1.570462862
9	1.55263954
10	1.538486038
11	1.524571193
12	1.513214242
13	1.501668239
14	1.492411817
15	1.482896311
16	1.475106367
17	1.468853232
18	1.461811551
19	1.457172164
20	1.451669775
21	1.446542208
22	1.441078067
23	1.436055518
24	1.433365601
25	1.430087536
26	1.42764205
27	1.425305342
28	1.422362455
29	1.420563186
30	1.416715018
31	1.414253567
32	1.412197875
33	1.410208993
34	1.40693612
35	1.405737727
36	1.403558507
37	1.40250395
38	1.401294199
39	1.399201349
40	1.398353669
41	1.39673165
42	1.394976909
43	1.394088303
44	1.392867198
45	1.39129364
46	1.388559669
47	1.387353638
48	1.38599313
49	1.3849885
50	1.38390496
51	1.381921642
52	1.380668377
53	1.380022157
54	1.378936542
55	1.377708822
56	1.377112708
57	1.37538968
58	1.374928949
59	1.373240887
60	1.372441274
61	1.371585583
62	1.370737111
63	1.369812083
64	1.369001161
65	1.36789443
66	1.366827658
67	1.36628839
68	1.364694909
69	1.363640801
70	1.362627106
71	1.36165846
72	1.360683542
73	1.359384748
74	1.358015638
75	1.356763136
76	1.35589943
77	1.353462444
78	1.352734932
79	1.35193393
80	1.350543579
81	1.349515128
82	1.348827351
83	1.348287458
84	1.346281427
85	1.344237532
86	1.343588355
87	1.342832403
88	1.34099667
89	1.340118572
90	1.339482249
91	1.338876067
92	1.338063099
93	1.336712232
94	1.335685069
95	1.334757248
96	1.332288547
97	1.331592969
98	1.330626763
99	1.33000607
100	1.327211425
101	1.325648269
102	1.324862585
103	1.322779221
104	1.321969867
105	1.319869531
106	1.319345594
107	1.318755473
108	1.318085028
109	1.316617635
110	1.316072336
111	1.315402206
112	1.314848208
113	1.313593913
114	1.312515288
115	1.312124301
116	1.311502858
117	1.310704374
118	1.310180138
119	1.30958836
120	1.309098997
121	1.308573116
122	1.308042908
123	1.306368145
124	1.30583457
125	1.303199568
126	1.302865937
127	1.299091439
128	1.298283993
129	1.297808669
130	1.297216104
131	1.296860274
132	1.295223739
133	1.293821524
134	1.292619552
135	1.291896162
136	1.291427637
137	1.291024481
138	1.288475687
139	1.287915319
140	1.28723576
141	1.286808975
142	1.286176564
143	1.285625257
144	1.285218028
145	1.284910188
146	1.284406978
147	1.282613701
148	1.27869057
149	1.277976095
150	1.277083538
151	1.276431858
152	1.27601274
153	1.275462543
154	1.274913102
155	1.273307563
156	1.272749943
157	1.271969266
158	1.269873735
159	1.269171285
160	1.268590792
161	1.268080003
162	1.267580342
163	1.265448302
164	1.264517178
165	1.262187164
166	1.261598348
167	1.260981285
168	1.260427078
169	1.257641891
170	1.256931343
171	1.256483792
172	1.256056026
173	1.255485053
174	1.254875466
175	1.254005657
176	1.253225737
177	1.252692342
178	1.252248379
179	1.250796004
180	1.250398987
181	1.249777934
182	1.249142381
183	1.248589165
184	1.248077773
185	1.244311932
186	1.243729206
187	1.243461794
188	1.241753897
189	1.241385519
190	1.239617535
191	1.238347484
192	1.237496177
193	1.236708417
194	1.236113301
195	1.235762355
196	1.232509387
197	1.231715681
198	1.231140089
199	1.230835744
200	1.230327707
201	1.229743805
202	1.227940944
203	1.227214988
204	1.226541727
205	1.22306339
206	1.221767819
207	1.220616858
208	1.220139676
209	1.219760985
210	1.219387741
211	1.21891146
212	1.218403778
213	1.216585899
214	1.215996613
215	1.215328904
216	1.214905731
217	1.212924619
218	1.212311284
219	1.211729121
220	1.211273477
221	1.208898734
222	1.207795534
223	1.20436552
224	1.203797328
225	1.203473973
226	1.202637518
227	1.20074823
228	1.200281091
229	1.199683538
230	1.197913547
231	1.197246967
232	1.196925117
233	1.196259724
234	1.195493974
235	1.195216428
236	1.194615778
237	1.194139756
238	1.19340596
239	1.192689452
240	1.191982849
241	1.191329633
242	1.190778434
243	1.190333756
244	1.189962003
245	1.189428638
246	1.187906808
247	1.187256441
248	1.186742813
249	1.186374426
250	1.185701513
251	1.185168506
252	1.184483409
253	1.1836837
254	1.180698885
255	1.179937111
256	1.178680685
257	1.178272223
258	1.176540468
259	1.176122503
260	1.175773632
261	1.174441021
262	1.173631156
263	1.172316474
264	1.171921672
265	1.171322419
266	1.170582635
267	1.16998143
268	1.167563433
269	1.167155774
270	1.166744616
271	1.166249439
272	1.165712941
273	1.165202735
274	1.1628895
275	1.162389246
276	1.159356638
277	1.1585449
278	1.15793824
279	1.157358406
280	1.156844281
281	1.15644802
282	1.156109927
283	1.155681625
284	1.154267926
285	1.153909982
286	1.153354647
287	1.15273429
288	1.152345714
289	1.151566477
290	1.150911057
291	1.150186066
292	1.149674371
293	1.148768101
294	1.148225539
295	1.147559843
296	1.147089174
297	1.146754013
298	1.1450126
299	1.144450132
300	1.144064353
301	1.143537653
302	1.143247755
303	1.142738833
304	1.142036195
305	1.141392513
306	1.14095483
307	1.140474029
308	1.13856229
309	1.137830203
310	1.137261331
311	1.136789138
312	1.135443251
313	1.134953483
314	1.133304967
315	1.132180039
316	1.131804467
317	1.131037356
318	1.130507999
319	1.129972524
320	1.129449165
321	1.12680982
322	1.126221071
323	1.125712694
324	1.125339837
325	1.124608321
326	1.124260842
327	1.123611277
328	1.123402799
329	1.122835678
330	1.122414497
331	1.12186963
332	1.121448189
333	1.121097918
334	1.120556599
335	1.119509507
336	1.117503986
337	1.116969521
338	1.116520997
339	1.116147428
340	1.115211928
341	1.114696344
342	1.114040038
343	1.113701648
344	1.112564703
345	1.112126482
346	1.111658757
347	1.111105487
348	1.11064282
349	1.110269586
350	1.109788973
351	1.109370406
352	1.108568941
353	1.108320121
354	1.107857889
355	1.107390321
356	1.106944035
357	1.106556556
358	1.106384824
359	1.105976296
360	1.105399226
361	1.104297195
362	1.103896322
363	1.103435067
364	1.102788598
365	1.102485514
366	1.102057461
367	1.101389102
368	1.100941219
369	1.100258142
370	1.099818272
371	1.099224029
372	1.097428992
373	1.097203433
374	1.09691991
375	1.096480503
376	1.095643938
377	1.095249046
378	1.094665891
379	1.094342444
380	1.093876383
381	1.093636078
382	1.093240965
383	1.092552396
384	1.09108836
385	1.090542487
386	1.090270587
387	1.089943643
388	1.088552404
389	1.087826366
390	1.087096976
391	1.08669472
392	1.086242099
393	1.084863478
394	1.083119251
395	1.082602269
396	1.082066533
397	1.081408592
398	1.080998023
399	1.079273147
400	1.078764432
401	1.078111437
402	1.077658194
403	1.077047448
404	1.07584701
405	1.075536021
406	1.075166538
407	1.074730719
408	1.07424385
409	1.073704382
410	1.073180119
411	1.07139306
412	1.071008716
413	1.070488446
414	1.070067832
415	1.069695258
416	1.068471258
417	1.068150169
418	1.067784656
419	1.06720139
420	1.066223487
421	1.065842993
422	1.065487877
423	1.065207835
424	1.064855757
425	1.064273003
426	1.063716131
427	1.063251757
428	1.062774561
429	1.062152169
430	1.061644228
431	1.061350877
432	1.059260027
433	1.058676097
434	1.058208752
435	1.057742488
436	1.057425539
437	1.056158102
438	1.055761317
439	1.055184331
440	1.054956691
441	1.054600829
442	1.05425534
443	1.053733646
444	1.053200919
445	1.052787332
446	1.05249674
447	1.052174989
448	1.051305073
449	1.05042312
450	1.050074341
451	1.049786699
452	1.049254264
453	1.047714661
454	1.047410997
455	1.047145211
456	1.04659071
457	1.04606292
458	1.045394817
459	1.044740112
460	1.044044119
461	1.043463059
462	1.042750173
463	1.042159509
464	1.041706458
465	1.041131044
466	1.040730682
467	1.040326238
468	1.039689774
469	1.038755582
470	1.038275711
471	1.038008908
472	1.037410069
473	1.036977893
474	1.036645447
475	1.036286691
476	1.0356181
477	1.034385484
478	1.034058759
479	1.033758089
480	1.033214535
481	1.032753865
482	1.032348001
483	1.031912935
484	1.031634379
485	1.030822014
486	1.030380277
487	1.030044271
488	1.029603413
489	1.029184302
490	1.028602025
491	1.028419723
492	1.027867819
