iter	Passed	Remaining
0	206	206038
1	249	124743
2	287	95537
3	322	80409
4	357	71044
5	391	64861
6	424	60160
7	455	56512
8	489	53893
9	521	51671
10	554	49845
11	585	48232
12	621	47168
13	655	46149
14	687	45169
15	719	44261
16	754	43610
17	786	42931
18	819	42299
19	851	41719
20	884	41224
21	919	40855
22	954	40527
23	990	40269
24	1027	40066
25	1066	39953
26	1101	39702
27	1135	39433
28	1168	39125
29	1201	38859
30	1236	38655
31	1269	38417
32	1304	38212
33	1340	38083
34	1377	37981
35	1413	37845
36	1450	37745
37	1485	37613
38	1520	37460
39	1552	37269
40	1587	37126
41	1622	37011
42	1656	36870
43	1691	36757
44	1724	36607
45	1757	36454
46	1792	36342
47	1826	36215
48	1861	36124
49	1893	35984
50	1928	35883
51	1961	35764
52	1993	35618
53	2025	35492
54	2057	35346
55	2092	35271
56	2126	35174
57	2159	35078
58	2192	34975
59	2226	34888
60	2259	34788
61	2293	34704
62	2328	34624
63	2360	34519
64	2393	34430
65	2428	34366
66	2464	34321
67	2500	34272
68	2540	34284
69	2581	34297
70	2620	34290
71	2656	34244
72	2693	34206
73	2727	34131
74	2763	34079
75	2797	34008
76	2831	33943
77	2865	33867
78	2898	33794
79	2931	33712
80	2965	33650
81	3000	33589
82	3033	33512
83	3067	33451
84	3102	33401
85	3137	33350
86	3172	33296
87	3207	33241
88	3240	33171
89	3273	33101
90	3308	33045
91	3338	32952
92	3373	32901
93	3407	32842
94	3442	32795
95	3476	32734
96	3509	32675
97	3540	32586
98	3574	32533
99	3607	32464
100	3643	32430
101	3677	32373
102	3712	32327
103	3748	32291
104	3784	32255
105	3825	32263
106	3859	32211
107	3891	32137
108	3924	32077
109	3957	32017
110	3988	31944
111	4022	31892
112	4054	31829
113	4089	31780
114	4122	31722
115	4154	31663
116	4188	31614
117	4221	31555
118	4252	31485
119	4285	31427
120	4316	31359
121	4348	31298
122	4380	31234
123	4415	31192
124	4447	31133
125	4480	31082
126	4512	31017
127	4549	30990
128	4581	30930
129	4611	30864
130	4643	30800
131	4674	30736
132	4707	30687
133	4742	30651
134	4775	30597
135	4810	30558
136	4842	30503
137	4874	30449
138	4915	30448
139	4951	30418
140	4987	30384
141	5023	30353
142	5062	30340
143	5098	30308
144	5132	30265
145	5168	30231
146	5201	30182
147	5235	30136
148	5271	30109
149	5304	30058
150	5338	30015
151	5372	29971
152	5403	29911
153	5436	29864
154	5468	29812
155	5502	29769
156	5535	29723
157	5567	29672
158	5601	29629
159	5635	29584
160	5669	29542
161	5702	29500
162	5735	29450
163	5767	29401
164	5801	29360
165	5836	29324
166	5870	29283
167	5903	29236
168	5936	29190
169	5971	29156
170	6005	29112
171	6036	29059
172	6069	29016
173	6109	29001
174	6147	28983
175	6186	28964
176	6223	28935
177	6256	28892
178	6288	28844
179	6322	28801
180	6353	28747
181	6386	28703
182	6417	28652
183	6451	28611
184	6484	28565
185	6519	28530
186	6552	28487
187	6586	28449
188	6620	28409
189	6652	28362
190	6688	28328
191	6722	28291
192	6756	28249
193	6789	28206
194	6822	28163
195	6853	28114
196	6888	28078
197	6930	28072
198	6962	28025
199	6994	27978
200	7028	27938
201	7059	27889
202	7094	27854
203	7129	27817
204	7161	27774
205	7198	27745
206	7231	27702
207	7269	27678
208	7306	27651
209	7339	27610
210	7373	27572
211	7410	27543
212	7444	27506
213	7477	27465
214	7510	27421
215	7544	27382
216	7575	27335
217	7608	27293
218	7644	27263
219	7678	27222
220	7712	27185
221	7748	27154
222	7782	27115
223	7818	27085
224	7852	27047
225	7883	27000
226	7915	26955
227	7952	26925
228	7984	26883
229	8018	26843
230	8051	26802
231	8086	26768
232	8118	26725
233	8152	26686
234	8186	26649
235	8217	26601
236	8248	26556
237	8280	26512
238	8314	26472
239	8346	26430
240	8380	26392
241	8412	26351
242	8452	26331
243	8490	26306
244	8525	26273
245	8562	26245
246	8600	26219
247	8632	26177
248	8664	26132
249	8696	26090
250	8731	26055
251	8765	26019
252	8799	25979
253	8831	25939
254	8867	25907
255	8900	25868
256	8936	25836
257	8969	25796
258	9006	25767
259	9038	25724
260	9071	25685
261	9104	25645
262	9138	25607
263	9175	25580
264	9210	25545
265	9246	25516
266	9289	25502
267	9321	25460
268	9355	25423
269	9387	25380
270	9418	25337
271	9452	25299
272	9483	25255
273	9516	25216
274	9550	25177
275	9582	25136
276	9623	25118
277	9662	25094
278	9702	25072
279	9741	25048
280	9779	25023
281	9813	24984
282	9843	24939
283	9875	24897
284	9910	24863
285	9941	24819
286	9973	24778
287	10008	24743
288	10039	24700
289	10077	24673
290	10115	24646
291	10153	24617
292	10185	24577
293	10220	24542
294	10255	24509
295	10289	24472
296	10320	24429
297	10355	24393
298	10390	24360
299	10423	24321
300	10454	24277
301	10485	24234
302	10518	24196
303	10550	24155
304	10583	24117
305	10616	24078
306	10649	24039
307	10683	24002
308	10719	23970
309	10753	23934
310	10787	23898
311	10826	23874
312	10865	23848
313	10902	23818
314	10938	23786
315	10976	23760
316	11010	23722
317	11043	23684
318	11077	23648
319	11110	23609
320	11144	23573
321	11180	23542
322	11213	23502
323	11247	23467
324	11281	23429
325	11313	23390
326	11346	23352
327	11380	23316
328	11411	23274
329	11445	23238
330	11477	23197
331	11509	23157
332	11542	23120
333	11573	23077
334	11606	23039
335	11643	23008
336	11678	22976
337	11711	22938
338	11742	22895
339	11774	22855
340	11807	22818
341	11840	22781
342	11875	22747
343	11908	22708
344	11942	22674
345	11976	22638
346	12013	22607
347	12050	22578
348	12089	22550
349	12128	22524
350	12171	22504
351	12205	22470
352	12242	22438
353	12273	22397
354	12306	22359
355	12338	22321
356	12371	22282
357	12403	22242
358	12435	22204
359	12470	22169
360	12502	22130
361	12534	22092
362	12567	22053
363	12598	22012
